ARH	PCATASTRAL1	PCATASTRAL2	SUBPARCELA	VALOR	TIPO	AATIPO	IPP	SUPERFICIE	NINTERNO	NINTERNO_SUBPARCELA	CIRCULARIDAD	CONVEXIDAD	ELONGACION	PLUVIOMETRIA	TIPO_VERANO	ETP	TM	TMIN	CLASIF	INV	TUSEC	TUREG	REGIHU	REGITE	PLU	PSECO	PFRIO	PCAL	ALTURA_MEDIA	PENDIENTE_MEDIA	ORIENTACION_MEDIA	LAT	LON
1611	46249A0	1000177	b	16100	FCR	FR	0	205.54614	1989	8	364	217660010	175519357	0.33	0.945	0.622	750	4	30	14	67	7	3	15	45	4	18	500	4	5	2	5.32269	39.47796
1611	46249A0	400121	0	16100	FCR	FR	0	205.54614	1989	8	618	217652252	175519810	0.644	0.995	0.436	750	4	30	14	67	7	3	15	50	4	18	500	4	5	2	5.34859	39.47812
1611	46249A0	400321	a	16100	FCR	FR	0	205.54614	1989	8	1436	217665092	175516633	0.35	0.991	0.699	750	4	30	14	67	7	3	15	50	4	18	500	4	5	2	5.34806	39.47822
1611	46249A0	400325	a	16100	TAR	FR	0	205.54614	1989	8	560	217665096	175516638	0.34	0.973	0.701	750	4	30	14	67	7	3	15	50	4	18	500	4	5	2	5.36645	39.47828
1611	46249A0	400325	a	16100	FCR	FR	0	205.54614	1989	8	560	217665096	175516638	0.34	0.973	0.701	750	4	30	14	67	7	3	15	50	4	18	500	4	5	2	5.34857	39.4784
1611	46249A0	900037	0	16100	FCR	FR	0	205.54614	1989	8	1852	217654225	175517151	0.391	0.963	0.609	750	4	30	14	67	7	3	15	45	4	18	500	4	5	2	5.32085	39.4785
1605	46250A0	2500589	0	18600	FCR	FR	3	183.909704	1989	12	5926	217849939	175617870	0.436	0.927	0.479	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.31849	39.47922
1605	46250A0	2500592	0	18600	FCR	FR	3	183.909704	1989	12	1680	217849942	175617875	0.759	1	0.14	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.34802	39.47934
1605	46250A0	3600647	a	18600	FCR	FR	2	194.727922	1989	10	3512	217845587	175617884	0.727	1	0.149	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.36946	39.47945
1605	46250A0	2400147	0	18600	FCR	FR	2	194.727922	1989	10	4829	217849881	175616151	0.732	0.997	0.107	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.32442	39.47963
1605	46250A0	2400149	0	18600	FCR	FR	2	194.727922	1989	10	4966	217849883	175616155	0.653	0.99	0.319	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.37636	39.47966
1611	46249A0	800161	0	16100	FCR	FR	0	205.54614	1989	8	784	217652358	175515527	0.649	0.998	0.353	750	4	30	14	67	7	3	15	45	4	18	500	4	5	2	5.37521	39.4799
1605	46250A0	3600058	0	18600	FCR	FR	2	194.727922	1989	10	2302	217843137	175616268	0.725	0.994	0.242	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.37621	39.47999
1611	46249A0	800908	0	16100	FCR	FR	0	205.54614	1989	8	882	217660842	175516948	0.423	0.995	0.603	750	4	30	14	67	7	3	15	45	4	18	500	4	6	2	5.33457	39.48003
1604	46122A0	1000178	b	24800	FCR	FR	2	216.364358	1989	6	284	217826780	175587524	0.558	0.996	0.454	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.37318	39.48013
1604	46122A0	800302	0	24800	FCR	FR	1	227.182575	1989	5	849	217824182	175588016	0.442	0.96	0.485	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.37309	39.48035
1604	46122A0	800139	0	24800	FCR	FR	1	227.182575	1989	5	230	217821616	175588022	0.601	1	0.446	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.36946	39.48035
1611	46249A0	400021	0	16100	TAR	FR	0	205.54614	1989	8	313	217664144	175518370	0.317	0.999	0.793	750	4	30	14	67	7	3	15	50	4	18	500	4	5	2	5.32614	39.48045
1611	46249A0	400021	0	16100	FCR	FR	0	205.54614	1989	8	313	217664144	175518370	0.317	0.999	0.793	750	4	30	14	67	7	3	15	50	4	18	500	4	5	2	5.37298	39.48066
1611	46249A0	400026	b	16100	FCR	FR	0	205.54614	1989	8	400	217664148	175518376	0.762	0.989	0.082	750	4	30	14	67	7	3	15	50	4	18	500	4	5	2	5.34382	39.48089
1611	46249A0	400036	0	16100	FCR	FR	0	205.54614	1989	8	1250	217664157	175518381	0.578	0.991	0.386	750	4	30	14	67	7	3	15	50	4	18	500	4	5	2	5.32089	39.4809
1611	46249A0	200070	0	16100	TAR	FR	0	205.54614	1989	8	108	217667038	175519028	0.643	1	0.382	750	4	30	14	67	7	3	15	45	4	18	500	4	5	2	5.37438	39.48091
1611	46249A0	200070	0	16100	FCR	FR	0	205.54614	1989	8	108	217667038	175519028	0.643	1	0.382	750	4	30	14	67	7	3	15	45	4	18	500	4	5	2	5.33652	39.48102
1611	46249A0	200075	a	16100	FCR	FR	0	205.54614	1989	8	1159	217667381	175519033	0.445	0.888	0.454	750	4	30	14	67	7	3	15	45	4	18	500	4	5	2	5.37267	39.4811
1611	46249A0	200081	0	16100	FCR	FR	0	205.54614	1989	8	1452	217667387	175519040	0.689	0.995	0.222	750	4	30	14	67	7	3	15	45	4	18	500	4	5	2	5.3443	39.48112
1605	46250A0	2400176	a	18600	FCR	FR	2	194.727922	1989	10	3760	217851894	175616657	0.771	0.999	0.253	850	4	30	16	62	6	3	20	50	3	6	700	4	5	1	5.3415	39.48163
1605	46250A0	2400121	a	18600	FCR	FR	3	183.909704	1989	12	4837	217848921	175616953	0.544	0.994	0.507	850	4	30	16	62	6	3	20	50	3	6	700	4	5	1	5.37728	39.4817
1605	46250A0	2400122	a	18600	FCR	FR	3	183.909704	1989	12	3831	217848922	175616955	0.404	1	0.679	850	4	30	16	62	6	3	20	50	3	6	700	4	5	1	5.38853	39.48181
1605	46250A0	3600412	0	18600	FCR	FR	1	205.54614	1989	8	975	217842540	175616772	0.361	1	0.807	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.3418	39.48182
1611	46249A0	1000202	0	16100	FCR	FR	0	205.54614	1989	8	890	217661777	175518180	0.342	0.987	0.692	750	4	30	14	67	7	3	15	45	4	18	500	4	5	2	5.34227	39.48185
1604	46122A0	800161	b	24800	FCR	FR	1	227.182575	1989	5	109	217821654	175588516	0.538	0.889	0.111	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.31803	39.48186
1604	46122A0	1000275	a	24800	FCR	FR	2	216.364358	1989	6	422	217826773	175588517	0.773	1	0.104	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.38728	39.48191
1604	46122A0	1000256	a	24800	FCR	FR	2	216.364358	1989	6	671	217826778	175588526	0.731	0.998	0.175	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.38895	39.48198
1605	46250A0	2400132	a	18600	FCR	FR	2	194.727922	1989	10	3040	217848930	175617243	0.524	0.985	0.505	850	4	30	16	62	6	3	20	50	3	6	700	4	5	1	5.38685	39.48208
1605	46250A0	2400136	a	18600	FCR	FR	2	194.727922	1989	10	5363	217848934	175617250	0.541	0.964	0.549	850	4	30	16	62	6	3	20	50	3	6	700	4	5	1	5.3886	39.48212
1605	46250A0	2400024	0	18600	FCR	FR	2	194.727922	1989	10	2900	217861360	175617507	0.692	1	0.232	850	4	30	16	62	6	3	20	50	3	6	700	4	5	1	5.31539	39.48216
1605	46250A0	2400027	a	18600	FCR	FR	2	194.727922	1989	10	5241	217861402	175617511	0.762	0.991	0.253	850	4	30	16	62	6	3	20	50	3	6	700	4	5	1	5.32412	39.48219
1605	46250A0	2500528	0	18600	FCR	FR	2	194.727922	1989	10	935	217847056	175618166	0.62	1	0.368	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.34466	39.48224
1605	46250A0	3600340	0	18600	FCR	FR	1	205.54614	1989	8	3343	217841984	175617065	0.614	0.989	0.303	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.38574	39.48228
1605	46250A0	3600341	a	18600	FCR	FR	1	205.54614	1989	8	7752	217841985	175617066	0.636	0.982	0.209	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.38666	39.48245
1605	46250A0	3600639	0	18600	FCR	FR	2	194.727922	1989	10	4903	217845560	175617618	0.687	1	0.253	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.32499	39.48247
1605	46250A0	3600641	0	18600	FCR	FR	2	194.727922	1989	10	3063	217845582	175617620	0.786	1	0.023	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.38528	39.48251
1605	46250A0	3600296	0	18600	FCR	FR	1	205.54614	1989	8	4093	217841639	175617897	0.743	0.999	0.162	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.37433	39.48281
1605	46250A0	3600299	0	18600	FCR	FR	1	205.54614	1989	8	2503	217841642	175617901	0.755	0.999	0.085	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.38534	39.48284
1605	46250A0	2200437	0	18600	FCR	FR	3	183.909704	1989	12	4348	217847907	175618004	0.769	0.997	0.151	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.38588	39.48297
1605	46250A0	2200438	0	18600	FCR	FR	3	183.909704	1989	12	5000	217847908	175618005	0.779	1	0.092	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.31526	39.48299
1604	46122A0	1400038	e	24800	FCR	FR	3	178.500595	1989	13	838	217826994	175587000	0.369	0.849	0.492	750	4	30	14	62	6	3	20	50	4	6	500	3	4	1	5.31202	39.48307
1604	46122A0	800233	0	24800	FCR	FR	1	227.182575	1989	5	440	217822886	175587783	0.603	0.98	0.433	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.38521	39.48322
1605	46250A0	2500529	0	18600	FCR	FR	2	194.727922	1989	10	838	217847057	175618167	0.544	1	0.485	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.38579	39.48328
1605	46250A0	2500530	0	18600	FCR	FR	2	194.727922	1989	10	1004	217847058	175618168	0.481	0.988	0.56	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.31262	39.48329
1605	46250A0	2500532	0	18600	FCR	FR	2	194.727922	1989	10	590	217847060	175618170	0.312	1	0.753	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.31436	39.4835
1605	46250A0	2500533	0	18600	FCR	FR	2	194.727922	1989	10	412	217847061	175618171	0.226	1	0.833	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.31385	39.48353
1611	46249A0	900070	0	16100	FCR	FR	0	205.54614	1989	8	643	217656211	175517206	0.588	0.998	0.59	750	4	30	14	67	7	3	15	45	4	18	500	4	5	2	5.32357	39.48373
1611	46249A0	800741	0	16100	FCR	FR	0	205.54614	1989	8	374	217666255	175516852	0.581	1	0.636	750	4	30	14	67	7	3	15	45	4	18	500	4	6	2	5.31342	39.48373
1611	46249A0	200028	a	16100	FCR	FR	0	205.54614	1989	8	1604	217667365	175516559	0.628	0.985	0.475	750	4	30	14	67	7	3	15	45	4	18	500	4	5	2	5.31389	39.48377
1611	46249A0	200035	0	16100	FCR	FR	0	205.54614	1989	8	383	217667372	175516608	0.584	0.998	0.332	750	4	30	14	67	7	3	15	45	4	18	500	4	5	2	5.32521	39.48387
1611	46249A0	100181	0	16100	TAS	FR	0	205.54614	1989	8	176	217667211	175518238	0.755	0.999	0.441	750	4	30	14	67	7	3	15	45	4	18	500	4	5	2	5.31962	39.48402
1611	46249A0	100181	0	16100	FCR	FR	0	205.54614	1989	8	176	217667211	175518238	0.755	0.999	0.441	750	4	30	14	67	7	3	15	45	4	18	500	4	5	2	5.30764	39.48403
1604	46122A0	1000119	d	24800	FCR	FR	2	216.364358	1989	6	181	217826784	175588533	0.74	0.964	0.014	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.31883	39.48413
1611	46249A0	1000279	a	16100	FCR	FR	0	205.54614	1989	8	894	217665394	175519433	0.748	0.994	0.173	750	4	30	14	67	7	3	15	45	4	18	500	4	5	2	5.3251	39.48413
1611	46249A0	400077	0	16100	TAR	FR	0	205.54614	1989	8	477	217666003	175519079	0.35	0.965	0.694	750	4	30	14	67	7	3	15	50	4	18	500	4	5	2	5.32338	39.48418
1611	46249A0	400077	0	16100	FCR	FR	0	205.54614	1989	8	477	217666003	175519079	0.35	0.965	0.694	750	4	30	14	67	7	3	15	50	4	18	500	4	5	2	5.32508	39.48419
1605	46250A0	2400115	0	18600	FCR	FR	3	183.909704	1989	12	2213	217847990	175616668	0.585	0.943	0.036	850	4	30	16	62	6	3	20	50	3	6	700	4	5	1	5.32359	39.48427
1605	46250A0	2400399	0	18600	FCR	FR	2	194.727922	1989	10	971	217846043	175616680	0.795	1	0.256	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.32266	39.48428
1605	46250A0	2400402	0	18600	FCR	FR	2	194.727922	1989	10	303	217846046	175616683	0.587	1	0.443	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.32376	39.48435
1605	46250A0	2400343	0	18600	FCR	FR	2	194.727922	1989	10	698	217861406	175616975	0.77	1	0.151	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.32882	39.48438
1605	46250A0	2400219	a	18600	FCR	FR	3	183.909704	1989	12	1478	217853821	175617525	0.447	0.957	0.565	850	4	30	16	62	6	3	20	50	3	6	700	4	5	1	5.32014	39.48442
1605	46250A0	2400221	0	18600	FCR	FR	3	183.909704	1989	12	336	217853822	175617528	0.472	1	0.631	850	4	30	16	62	6	3	20	50	3	6	700	4	5	1	5.32985	39.48445
1605	46250A0	2400222	0	18600	FCR	FR	3	183.909704	1989	12	1490	217853823	175617529	0.527	0.918	0.337	850	4	30	16	62	6	3	20	50	3	6	700	4	5	1	5.32257	39.48447
1605	46250A0	2400224	0	18600	FCR	FR	3	183.909704	1989	12	855	217853825	175617531	0.373	0.98	0.693	850	4	30	16	62	6	3	20	50	3	6	700	4	5	1	5.32194	39.4845
1611	46249A0	900098	0	16100	FCR	FR	0	205.54614	1989	8	911	217657128	175518560	0.612	1	0.388	750	4	30	14	67	7	3	15	45	4	18	500	4	5	2	5.33684	39.4845
1611	46249A0	900107	0	16100	FCR	FR	0	205.54614	1989	8	1944	217657134	175518626	0.764	0.999	0.187	750	4	30	14	67	7	3	15	45	4	18	500	4	6	2	5.33658	39.48452
1611	46249A0	900110	0	16100	FCR	FR	0	205.54614	1989	8	627	217657137	175518629	0.639	1	0.342	750	4	30	14	67	7	3	15	45	4	18	500	4	6	2	5.32445	39.48454
1605	46250A0	3600031	0	18600	FCR	FR	2	194.727922	1989	10	2542	217842912	175617078	0.728	1	0.17	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.32343	39.48463
1605	46250A0	3600311	a	18600	FCR	FR	2	194.727922	1989	10	2767	217841811	175617909	0.534	0.988	0.706	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.3159	39.48467
1605	46250A0	3600312	0	18600	FCR	FR	2	194.727922	1989	10	1573	217841812	175617911	0.568	1	0.603	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.32335	39.48472
